iter	Passed	Remaining
0	6	6604
1	13	6677
2	20	6699
3	26	6545
4	32	6538
5	39	6537
6	45	6424
7	51	6377
8	58	6422
9	65	6439
10	71	6433
11	78	6477
12	85	6480
13	92	6516
14	98	6475
15	105	6518
16	113	6550
17	120	6589
18	127	6608
19	135	6632
20	142	6633
21	148	6606
22	155	6622
23	163	6636
24	170	6661
25	177	6648
26	183	6622
27	191	6642
28	197	6624
29	204	6627
30	211	6615
31	219	6625
32	225	6612
33	232	6602
34	239	6589
35	245	6576
36	252	6561
37	258	6550
38	265	6538
39	271	6526
40	278	6521
41	285	6522
42	292	6498
43	298	6481
44	305	6473
45	310	6446
46	317	6434
47	323	6415
48	329	6397
49	336	6397
50	343	6395
51	350	6382
52	357	6381
53	364	6384
54	371	6380
55	378	6387
56	385	6381
57	392	6381
58	399	6375
59	407	6380
60	413	6367
61	420	6364
62	428	6366
63	434	6351
64	441	6350
65	448	6343
66	455	6343
67	462	6345
68	470	6343
69	476	6327
70	484	6342
71	491	6331
72	498	6328
73	505	6320
74	512	6324
75	519	6317
76	527	6317
77	533	6310
78	539	6293
79	545	6277
80	552	6265
81	559	6263
82	566	6259
83	574	6259
84	580	6248
85	587	6246
86	594	6238
87	600	6227
88	607	6222
89	614	6210
90	621	6212
91	629	6208
92	636	6204
93	643	6198
94	649	6192
95	656	6185
96	663	6173
97	669	6162
98	677	6161
99	684	6157
100	691	6154
101	698	6152
102	706	6150
103	713	6145
104	719	6132
105	726	6125
106	733	6122
107	740	6115
108	747	6110
109	754	6105
110	761	6097
111	768	6094
112	774	6080
113	782	6078
114	789	6076
115	796	6070
116	803	6066
117	810	6058
118	817	6054
119	825	6051
120	832	6047
121	839	6043
122	846	6033
123	853	6029
124	860	6024
125	867	6020
126	875	6016
127	882	6010
128	889	6006
129	896	6001
130	904	5997
131	911	5992
132	918	5990
133	926	5986
134	933	5981
135	941	5979
136	948	5975
137	955	5970
138	962	5964
139	970	5960
140	977	5955
141	985	5951
142	992	5948
143	1000	5944
144	1007	5939
145	1014	5936
146	1022	5931
147	1029	5925
148	1035	5913
149	1042	5907
150	1049	5903
151	1057	5898
152	1064	5893
153	1071	5887
154	1078	5881
155	1086	5875
156	1093	5870
157	1100	5865
158	1108	5861
159	1115	5857
160	1123	5853
161	1130	5849
162	1137	5842
163	1144	5836
164	1151	5829
165	1158	5820
166	1165	5811
167	1172	5805
168	1179	5799
169	1186	5791
